Framework,Objective_ID,Objective,Weight_or_priority,Lesson,Product,Evidence,Status,Confidence,Last_practised,Last_retested,Source_version,Notes
AB100,AB100-3.4.2,Design governance for agents,40-45%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-3.4.3,Design model security,40-45%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-3.4.4,"Analyze solution and AI vulnerabilities and mitigations, including prompt manipulation",40-45%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-3.4.5,Review solution for adherence to responsible AI principles,40-45%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-3.4.6,Validate data residency and movement compliance,40-45%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-3.4.7,Design access controls on grounding data and model tuning,40-45%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-3.4.8,Design audit trails for changes to models and data,40-45%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
CPMAI,CPMAI-1.1,Oversee privacy and security plan,15%,,,,Unseen,,,,"Examination Content Outline, September 2025 (PMI-CPMAI replaced the earlier CPMAI v7 certification)",
CPMAI,CPMAI-1.2,"Manage AI/ML transparency (e.g., data selection, algorithm selection)",15%,,,,Unseen,,,,"Examination Content Outline, September 2025 (PMI-CPMAI replaced the earlier CPMAI v7 certification)",
CPMAI,CPMAI-1.3,"Conduct bias checks (e.g., model, data, algorithm)",15%,,,,Unseen,,,,"Examination Content Outline, September 2025 (PMI-CPMAI replaced the earlier CPMAI v7 certification)",
CPMAI,CPMAI-1.4,Monitor regulatory and policy compliance,15%,,,,Unseen,,,,"Examination Content Outline, September 2025 (PMI-CPMAI replaced the earlier CPMAI v7 certification)",
CPMAI,CPMAI-1.5,Manage accountability documentation and audit trail,15%,,,,Unseen,,,,"Examination Content Outline, September 2025 (PMI-CPMAI replaced the earlier CPMAI v7 certification)",
CPMAI,CPMAI-2.1,"Identify problem to be solved (e.g., needs, persona)",26%,,,,Unseen,,,,"Examination Content Outline, September 2025 (PMI-CPMAI replaced the earlier CPMAI v7 certification)",
CPMAI,CPMAI-2.2,Evaluate initial AI feasibility,26%,,,,Unseen,,,,"Examination Content Outline, September 2025 (PMI-CPMAI replaced the earlier CPMAI v7 certification)",
CPMAI,CPMAI-2.3,"Conduct risk assessment(s) (e.g., security, safety, ethics)",26%,,,,Unseen,,,,"Examination Content Outline, September 2025 (PMI-CPMAI replaced the earlier CPMAI v7 certification)",
CPMAI,CPMAI-2.4,Develop AI project scope statement,26%,,,,Unseen,,,,"Examination Content Outline, September 2025 (PMI-CPMAI replaced the earlier CPMAI v7 certification)",
CPMAI,CPMAI-2.5,Determine ROI,26%,,,,Unseen,,,,"Examination Content Outline, September 2025 (PMI-CPMAI replaced the earlier CPMAI v7 certification)",
CPMAI,CPMAI-2.6,Manage adoption/integration risks,26%,,,,Unseen,,,,"Examination Content Outline, September 2025 (PMI-CPMAI replaced the earlier CPMAI v7 certification)",
CPMAI,CPMAI-2.7,Draft AI solution,26%,,,,Unseen,,,,"Examination Content Outline, September 2025 (PMI-CPMAI replaced the earlier CPMAI v7 certification)",
CPMAI,CPMAI-2.8,"Define success criteria (e.g., KPIs, metrics)",26%,,,,Unseen,,,,"Examination Content Outline, September 2025 (PMI-CPMAI replaced the earlier CPMAI v7 certification)",
CPMAI,CPMAI-2.9,Support business case creation,26%,,,,Unseen,,,,"Examination Content Outline, September 2025 (PMI-CPMAI replaced the earlier CPMAI v7 certification)",
CPMAI,CPMAI-2.10,"Identify project resources (e.g., people, hardware, contractors)",26%,,,,Unseen,,,,"Examination Content Outline, September 2025 (PMI-CPMAI replaced the earlier CPMAI v7 certification)",
CPMAI,CPMAI-3.1,Define required data,26%,,,,Unseen,,,,"Examination Content Outline, September 2025 (PMI-CPMAI replaced the earlier CPMAI v7 certification)",
CPMAI,CPMAI-3.2,Identify data SMEs,26%,,,,Unseen,,,,"Examination Content Outline, September 2025 (PMI-CPMAI replaced the earlier CPMAI v7 certification)",
CPMAI,CPMAI-3.3,Identify data sources and locations,26%,,,,Unseen,,,,"Examination Content Outline, September 2025 (PMI-CPMAI replaced the earlier CPMAI v7 certification)",
CPMAI,CPMAI-3.4,Coordinate AI workspace and infrastructure,26%,,,,Unseen,,,,"Examination Content Outline, September 2025 (PMI-CPMAI replaced the earlier CPMAI v7 certification)",
CPMAI,CPMAI-3.5,Gather required data,26%,,,,Unseen,,,,"Examination Content Outline, September 2025 (PMI-CPMAI replaced the earlier CPMAI v7 certification)",
CPMAI,CPMAI-3.6,"Check data privacy, compliance, and access",26%,,,,Unseen,,,,"Examination Content Outline, September 2025 (PMI-CPMAI replaced the earlier CPMAI v7 certification)",
CPMAI,CPMAI-3.7,Oversee data evaluation,26%,,,,Unseen,,,,"Examination Content Outline, September 2025 (PMI-CPMAI replaced the earlier CPMAI v7 certification)",
CPMAI,CPMAI-3.8,Determine if data meets solution needs,26%,,,,Unseen,,,,"Examination Content Outline, September 2025 (PMI-CPMAI replaced the earlier CPMAI v7 certification)",
CPMAI,CPMAI-3.9,Convey data understanding to leadership,26%,,,,Unseen,,,,"Examination Content Outline, September 2025 (PMI-CPMAI replaced the earlier CPMAI v7 certification)",
CPMAI,CPMAI-4.1,"Oversee AI/ML model technique(s) (e.g., algorithm, selection)",16%,,,,Unseen,,,,"Examination Content Outline, September 2025 (PMI-CPMAI replaced the earlier CPMAI v7 certification)",
CPMAI,CPMAI-4.2,"Oversee AI/ML model QA/QC (e.g., configuration management, model performance)",16%,,,,Unseen,,,,"Examination Content Outline, September 2025 (PMI-CPMAI replaced the earlier CPMAI v7 certification)",
CPMAI,CPMAI-4.3,Manage AI/ML model training,16%,,,,Unseen,,,,"Examination Content Outline, September 2025 (PMI-CPMAI replaced the earlier CPMAI v7 certification)",
CPMAI,CPMAI-4.4,Manage data transformation to conduct data preparation,16%,,,,Unseen,,,,"Examination Content Outline, September 2025 (PMI-CPMAI replaced the earlier CPMAI v7 certification)",
CPMAI,CPMAI-4.5,Verify data quality for go/no-go decision to conduct data preparation,16%,,,,Unseen,,,,"Examination Content Outline, September 2025 (PMI-CPMAI replaced the earlier CPMAI v7 certification)",
CPMAI,CPMAI-4.6,Verify model ready for operationalization go/no-go decision,16%,,,,Unseen,,,,"Examination Content Outline, September 2025 (PMI-CPMAI replaced the earlier CPMAI v7 certification)",
CPMAI,CPMAI-5.1,Manage creation of AI solution deployment plan,17%,,,,Unseen,,,,"Examination Content Outline, September 2025 (PMI-CPMAI replaced the earlier CPMAI v7 certification)",
CPMAI,CPMAI-5.2,Manage AI solution deployment,17%,,,,Unseen,,,,"Examination Content Outline, September 2025 (PMI-CPMAI replaced the earlier CPMAI v7 certification)",
CPMAI,CPMAI-5.3,Oversee model governance,17%,,,,Unseen,,,,"Examination Content Outline, September 2025 (PMI-CPMAI replaced the earlier CPMAI v7 certification)",
CPMAI,CPMAI-5.4,"Oversee AI solution metrics (e.g., KPI, model performance)",17%,,,,Unseen,,,,"Examination Content Outline, September 2025 (PMI-CPMAI replaced the earlier CPMAI v7 certification)",
CPMAI,CPMAI-5.5,Prepare final report/lessons learned,17%,,,,Unseen,,,,"Examination Content Outline, September 2025 (PMI-CPMAI replaced the earlier CPMAI v7 certification)",
CPMAI,CPMAI-5.6,Manage AI solution transition plan,17%,,,,Unseen,,,,"Examination Content Outline, September 2025 (PMI-CPMAI replaced the earlier CPMAI v7 certification)",
CPMAI,CPMAI-5.7,Oversee AI solution contingency plan,17%,,,,Unseen,,,,"Examination Content Outline, September 2025 (PMI-CPMAI replaced the earlier CPMAI v7 certification)",
